,n500000,n1000000,n5000000,n10000000
nside4,908.378758089795,1000.8620176167924,1129.4659524987253,1191.1004303786847
nside8,3144.2713401787514,3437.6690421313697,4033.462492993388,4319.439525394221
nside16,10530.3752696206,11657.418035140821,14008.06092409412,15111.281963234607
nside32,33558.65043281768,37940.53950478868,47706.67471882509,51933.06433952453
