,n500000,n1000000,n5000000,n10000000
nside4,902.9873156865311,991.4331647045593,1051.1990467898227,1062.3702561746702
nside8,3138.3922512234394,3427.8694974338023,3955.5199735585197,4190.0126706368765
nside16,10524.309417725111,11648.248178998208,13930.08656285417,14981.207115727822
nside32,33552.55326262787,37931.489513921304,47628.54535627285,51802.32534962049
