,Points,ln(Z_0),ln(Z_CMB),ln(Z),ln(Z_err)
0,500000.0,5247.860455240428,5258.482597094538,5255.0972013160335,0.12390333219830149
1,1450000.0,6072.752704328575,6083.6476837082755,6080.601822668077,0.131052241494864
2,2400000.0,6440.149812660536,6455.694001748034,6453.888871222652,0.14077868369532934
3,3350000.0,6711.787373620021,6737.833316628043,6737.848522354899,0.14353328746710062
4,4300000.0,6869.742595936079,6916.1331898067065,6916.875554496495,0.15885754939955737
5,5250000.0,7051.419183411392,7092.351852319377,7092.911120234857,0.15634818235847744
6,6200000.0,7161.787985705706,7211.017001782827,7209.648213221471,0.16117930686071233
7,7150000.0,7254.3295903058015,7312.433269862848,7317.241578370088,0.159341970353494
8,8100000.0,7374.142676908655,7438.139996076624,7447.895514040685,0.17031188579042947
9,9050000.0,7463.594199428987,7507.493304021527,7525.84039221795,0.1669731448357471
10,10000000.0,7469.7370520004815,7580.939984334298,7586.109987738506,0.17633046575913053
