,Points,ln(Z_0),ln(Z_CMB),ln(Z),ln(Z_err)
0,500000.0,5253.506834365509,5255.160052772399,5252.775069786795,0.08267512116165515
1,1450000.0,6079.49183423843,6088.273942785741,6088.939023304442,0.1381858474195262
2,2400000.0,6463.308562781894,6503.516629410496,6496.456733642941,0.14681309917283586
3,3350000.0,6750.629136229134,6779.917247227785,6783.408682878227,0.1556138386643546
4,4300000.0,6881.4835027950885,6917.514346046084,6916.160515525421,0.15405844837262875
5,5250000.0,7008.958435897005,7074.216944042827,7075.22808417007,0.16513817344901716
6,6200000.0,7139.882654070259,7169.95029187719,7179.068677464791,0.16495910582993528
7,7150000.0,7191.743066123315,7263.3224352457,7263.478510147642,0.16682417761420854
8,8100000.0,7313.223131774819,7378.916752999911,7388.658637399488,0.17049856455551396
9,9050000.0,7367.693725547073,7437.974057668959,7448.766959697545,0.16884714703318943
10,10000000.0,7445.823809669263,7555.143219542563,7558.134956134336,0.17218250121694467
