,Points,ln(Z_0),ln(Z_CMB),ln(Z),ln(Z_err)
0,500000.0,5289.930441955898,5286.0744768900395,5287.54487450781,0.08443675104992739
1,1450000.0,6060.637575587965,6063.222755127931,6062.868803906991,0.12584875427556447
2,2400000.0,6465.033700673781,6479.862760997046,6478.132382038641,0.1394916373459715
3,3350000.0,6691.879434854558,6711.392068667518,6710.020100205953,0.1426406597596108
4,4300000.0,6929.518252428013,6949.678945805572,6954.571161900278,0.14593281223452972
5,5250000.0,7066.4233009641675,7108.644368114362,7111.198557424956,0.156851516664325
6,6200000.0,7165.63312802924,7239.115146648086,7235.733529917021,0.16781107729108144
7,7150000.0,7295.736927011482,7346.187578280356,7351.489307508741,0.16730256699095253
8,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA
