,Points,ln(Z_0),ln(Z_CMB),ln(Z),ln(Z_err)
0,1000000.0,-12920.417328710708,-12917.192156875855,-12913.178115045417,0.16787311461485266
1,2000000.0,-12512.222241786041,-12548.304772316675,-12464.688620549394,0.1842758559595758
2,3000000.0,-11541.683379573866,-11597.982721799632,-11542.320540564708,0.16330195215677082
3,4000000.0,-12511.174509815695,-12591.917704734535,-12486.258733273327,0.18145557573829946
4,5000000.0,-11058.509209513164,-11147.34167336766,-11013.349128983911,0.18666758158931276
5,6000000.0,-11445.968512354937,-11414.459117176664,-11402.346889451428,0.15829273428285925
6,7000000.0,-10805.207131169987,-10752.454981395658,-10729.422401737731,0.17825694875410322
7,8000000.0,-11074.692832255438,-10994.098887555361,-10920.42342450816,0.1885629848333991
8,9000000.0,-11097.646338445618,-11192.971333846534,-11074.686616272764,0.18178446192587575
9,10000000.0,-10444.874418949348,-10507.090285683735,-10259.07174593117,0.20235785873072903
10,11000000.0,-11003.964705362823,-11072.571354857224,-10729.285430469314,0.20732454482640622
11,12000000.0,-11064.376467044118,-11121.740176691359,-10872.22765360547,0.20359870399721908
12,13000000.0,-10793.407967948877,-10902.941347018239,-10745.981136857585,0.19087905752533846
13,14000000.0,-10929.826402602166,-10956.769374499872,-10757.321569074584,0.19923756870103754
14,15000000.0,-10232.258856217824,-10466.965601499354,-10159.659308003598,0.2000901620572237
15,16000000.0,-11419.501236401326,-11521.332300376907,-11239.148094280417,0.204091547912224
16,17000000.0,-10302.36722998997,-10543.977333683377,-10240.052596979402,0.19652842036892473
17,18000000.0,-10526.192984461633,-10550.230533754675,-10403.304761982408,0.19181634044510015
18,19000000.0,-10462.838693980899,-10822.627159899179,-10409.386218523514,0.19937799329288866
19,20000000.0,-11393.271361893585,-11645.378174982148,-11251.72939730113,0.20747212545340088
