,Points,ln(Z_0),ln(Z_CMB),ln(Z),ln(Z_err)
0,1000000.0,-254.0393193530329,-287.1522164912794,-251.37218085612673,0.16094586717410347
1,2000000.0,510.17987834471523,523.8357391524258,525.8850018294754,0.1660317895336548
2,3000000.0,71.82601270189367,125.59116098460633,118.88641329387556,0.18409275525895305
3,4000000.0,912.6798190664393,995.4470724858983,998.2403084877863,0.18259065864732058
4,5000000.0,636.7431821464107,653.9691730244415,662.7887165472079,0.16535644913857833
5,6000000.0,1248.979871326439,1306.603228757985,1308.2893935024179,0.18641579952768075
6,7000000.0,1102.346007391108,1073.1426454161674,1154.2037008190339,0.18720632381441019
7,8000000.0,574.3860428929517,651.3169311134707,651.5863645178046,0.19319928197047062
8,9000000.0,943.7937200072569,1004.8001341129515,1016.5790358229159,0.1834206346417837
9,10000000.0,1150.8355581624658,1256.9748372342958,1255.1727576163828,0.1937168361234522
10,11000000.0,1461.971162764947,1573.242516501551,1593.374938886551,0.19551355499810924
11,12000000.0,1452.9742419950378,1584.306006808194,1629.6944723022045,0.19501262712399162
12,13000000.0,1411.6745243754012,1504.0402186089639,1526.9890276272474,0.18972955875879724
13,14000000.0,1883.9120010202355,1989.9393899120569,2006.6579408151358,0.1970899122518246
14,15000000.0,1765.6804818242706,1842.1475536148016,1865.8162263304096,0.19440103933648553
15,16000000.0,1897.4728932588487,1970.8512334610264,2012.810242184997,0.18963187744106505
16,17000000.0,1857.1484305348624,2074.277538657181,2074.1526600548823,0.1933269621722127
17,18000000.0,1674.78626727906,1822.554375541251,1851.8768063175214,0.1998860148736721
18,19000000.0,1443.633839390763,1659.5329518084648,1713.481069291347,0.2061066612042414
19,20000000.0,1898.3907080922452,2029.560243731473,2110.535944150368,0.20877910523683896
