,Points,ln(Z_0),ln(Z_CMB),ln(Z),ln(Z_err)
0,1000000.0,114.13824655170696,67.69231234668953,126.34579797053088,0.13504523890032724
1,2000000.0,204.0606619953256,116.41742670604899,225.7727099806067,0.13935568396285522
2,3000000.0,357.2981018981894,221.0751640403925,412.7141719697611,0.1687937912399425
3,4000000.0,1112.3634565840714,990.4182906712244,1123.4497600070015,0.15364005612029488
4,5000000.0,806.8540495826975,537.0919253540098,930.2610295194429,0.1618230962379961
5,6000000.0,1018.0297177903425,801.552080113152,1050.2686166111107,0.15277495173015995
6,7000000.0,1111.2585198128827,859.6433478872374,1157.3870896884148,0.16747843284878786
7,8000000.0,742.9946840146572,414.11606989059936,843.8042896279092,0.16478268880503955
8,9000000.0,1557.5430805399603,1287.8639537731142,1584.832653215017,0.16974969214282337
9,10000000.0,1363.0187006842352,952.1568103183755,1457.7185499476218,0.1725748640143738
10,11000000.0,1099.6629584094437,697.189946694712,1221.0008515245543,0.18304129811072856
11,12000000.0,1359.3343805849106,861.673735869391,1491.2295418464803,0.17603780376196598
12,13000000.0,1588.8166421619887,1037.9895694930228,1723.9819470462623,0.1759099128827503
13,14000000.0,2082.632862708662,1664.8710394725156,2119.8801642302406,0.15733049665796522
14,15000000.0,2022.7124386398914,1473.9236109802425,2116.2937254206604,0.17702943863593523
15,16000000.0,2185.5201908367517,1531.9756579954083,2374.142028195525,0.18786340076024383
16,17000000.0,1719.1692144233546,1064.9313962641231,1886.56392815075,0.18283617515809314
17,18000000.0,1550.944593584302,825.5477281646017,1753.196494051211,0.1684614227970256
18,19000000.0,1965.4175925238785,1337.7400821860163,2064.939463781018,0.1771053046654403
19,20000000.0,1676.184179886125,820.3556185288527,1928.596535321844,0.18526591008492166
