,Points,ln(Z_0),ln(Z_CMB),ln(Z),ln(Z_err)
0,1000000.0,-12456.393227289469,-12500.929447751072,-12445.97003911009,0.13467572580600215
1,2000000.0,-11769.938018134604,-11893.740323726062,-11631.867733631028,0.1712611687045366
2,3000000.0,-10582.020405321324,-10675.530879648275,-10511.299290940022,0.17860978458437812
3,4000000.0,-11219.04285909137,-11396.030586486284,-11147.535516531361,0.16735305539489456
4,5000000.0,-10614.178957314965,-10790.595995003152,-10545.546414891676,0.17098548959056614
5,6000000.0,-11653.47536363352,-11966.434458656775,-11535.49346429752,0.17489571912951207
6,7000000.0,-11487.327811924299,-11765.353053856523,-11430.665666060007,0.16793634935653085
7,8000000.0,-10712.861626447953,-10953.659609899589,-10672.461964499347,0.15555581237945568
8,9000000.0,-11296.131572262817,-11650.030453761607,-11214.71856562512,0.17462362640898105
9,10000000.0,-11309.77455616722,-11691.609953809095,-11213.535965455125,0.16462822907597127
10,11000000.0,-11529.056617973425,-12057.187080059106,-11359.487757835383,0.18249866646434665
11,12000000.0,-10441.071463933695,-10904.255190968164,-10267.385211346229,0.19249331200641734
12,13000000.0,-11322.747000630869,-11992.434715136822,-11053.81299010507,0.183356894661826
13,14000000.0,-11220.50698098075,-11792.793590979054,-11066.965448472907,0.16446355296688034
14,15000000.0,-10048.328649019268,-10617.111269602718,-9881.93433027885,0.18211451634580483
15,16000000.0,-10309.351714137067,-10922.614654261984,-10163.809095335482,0.17637635709784655
16,17000000.0,-9861.322476803367,-10614.078799558303,-9647.238189498223,0.1852094515683176
17,18000000.0,-10375.319181032874,-11219.024415675029,-10062.247154905714,0.171155850765224
18,19000000.0,-11807.651431407841,-12468.127821109249,-11610.71115584095,0.19695997204121488
19,20000000.0,-10287.111862961297,-11111.517083471901,-10074.322192760703,0.17293348261646602
